y	yend	x	xend	key	clickSelects	showSelected2	PANEL
-25.2	1.2	0.134510215371847	0.134510215371847	1 0.134510215371847	X2<0.134510	1	2
-25.2	1.2	0.144137342460454	0.144137342460454	1 0.144137342460454	X2<0.144137	1	2
-25.2	1.2	0.149799936218187	0.149799936218187	1 0.149799936218187	X2<0.149800	1	2
-25.2	1.2	0.151765458402224	0.151765458402224	1 0.151765458402224	X2<0.151765	1	2
-25.2	1.2	0.154248274397105	0.154248274397105	1 0.154248274397105	X2<0.154248	1	2
-25.2	1.2	0.157833015779033	0.157833015779033	1 0.157833015779033	X2<0.157833	1	2
-25.2	1.2	0.161699284333736	0.161699284333736	1 0.161699284333736	X2<0.161699	1	2
-25.2	1.2	0.169544745353051	0.169544745353051	1 0.169544745353051	X2<0.169545	1	2
-25.2	1.2	0.176065281732008	0.176065281732008	1 0.176065281732008	X2<0.176065	1	2
-25.2	1.2	0.179984996444546	0.179984996444546	1 0.179984996444546	X2<0.179985	1	2
-25.2	1.2	0.185588386491872	0.185588386491872	1 0.185588386491872	X2<0.185588	1	2
-25.2	1.2	0.191322748665698	0.191322748665698	1 0.191322748665698	X2<0.191323	1	2
-25.2	1.2	0.195036809425801	0.195036809425801	1 0.195036809425801	X2<0.195037	1	2
-25.2	1.2	0.197501092683524	0.197501092683524	1 0.197501092683524	X2<0.197501	1	2
